sr,gs,load,rate,ts,label
48828,-2.68404,250,25,163,2
48828,1.146518,250,25,164,2
48828,0.574151,250,25,165,2
48828,-0.6005592,250,25,166,2
48828,1.058556,250,25,167,2
48828,-0.3443774,250,25,168,2
48828,-2.405006,250,25,169,2
48828,0.2198429,250,25,170,2
48828,-0.3312102,250,25,171,2
48828,-0.3316901,250,25,172,2
48828,0.2902443,250,25,173,2
48828,1.205856,250,25,174,2
48828,0.1357328,250,25,175,2
48828,-0.4938312,250,25,176,2
48828,0.7535571,250,25,177,2
48828,0.6529081,250,25,178,2
48828,-0.983097,250,25,179,2
48828,0.02790952,250,25,180,2
48828,2.629968,250,25,181,2
48828,-0.4744126,250,25,182,2
48828,1.165087,250,25,183,2
48828,1.821232,250,25,184,2
48828,-0.2589752,250,25,185,2
48828,0.2917702,250,25,186,2
48828,0.2151421,250,25,187,2
48828,-0.8636447,250,25,188,2
48828,-0.7111267,250,25,189,2
48828,-0.3391844,250,25,190,2
48828,-0.7736155,250,25,191,2
48828,-0.8507358,250,25,192,2
48828,-2.368716,250,25,193,2
48828,-0.06095055,250,25,194,2
48828,-1.400005,250,25,195,2
48828,-0.028291,250,25,196,2
48828,0.5716284,250,25,197,2
48828,-0.2138623,250,25,198,2
48828,-0.897018,250,25,199,2
48828,-0.2870571,250,25,200,2
48828,-0.458292,250,25,201,2
48828,0.1085616,250,25,202,2
48828,0.9055336,250,25,203,2
48828,0.3595381,250,25,204,2
48828,0.05386243,250,25,205,2
48828,1.051862,250,25,206,2
48828,0.7367105,250,25,207,2
48828,-0.181658,250,25,208,2
48828,0.08335939,250,25,209,2
48828,0.2181939,250,25,210,2
48828,0.7190024,250,25,211,2
48828,-0.3590582,250,25,212,2
48828,0.2075863,250,25,213,2
48828,-0.3953849,250,25,214,2
48828,-0.4249311,250,25,215,2
48828,1.20166,250,25,216,2
48828,0.468149,250,25,217,2
48828,-0.2550251,250,25,218,2
48828,1.071342,250,25,219,2
48828,-0.1007105,250,25,220,2
48828,-0.2582123,250,25,221,2
48828,-0.2930377,250,25,222,2
48828,-1.375295,250,25,223,2
48828,-1.43718,250,25,224,2
48828,-0.9526032,250,25,225,2
48828,0.3752526,250,25,226,2
48828,0.3225223,250,25,227,2
48828,-0.6780488,250,25,228,2
48828,-0.05524067,250,25,229,2
48828,-1.463724,250,25,230,2
48828,-1.0447,250,25,231,2
48828,-0.8695022,250,25,232,2
48828,-1.320337,250,25,233,2
48828,-1.310591,250,25,234,2
48828,-1.277242,250,25,235,2
48828,-0.8062382,250,25,236,2
48828,0.3198889,250,25,237,2
48828,-0.4687274,250,25,238,2
48828,0.3699611,250,25,239,2
48828,0.06434695,250,25,240,2
48828,0.6421159,250,25,241,2
48828,0.1893122,250,25,242,2
48828,-0.991797,250,25,243,2
48828,-0.3973292,250,25,244,2
48828,0.8972148,250,25,245,2
48828,0.8649737,250,25,246,2
48828,0.4230975,250,25,247,2
48828,1.1286,250,25,248,2
48828,0.1040454,250,25,249,2
48828,0.1325702,250,25,250,2
48828,0.2926685,250,25,251,2
48828,0.7769135,250,25,252,2
48828,0.1113797,250,25,253,2
48828,0.2056174,250,25,254,2
48828,-0.8764426,250,25,255,2
48828,-0.659024,250,25,256,2
48828,-0.4466631,250,25,257,2
48828,-0.1951944,250,25,258,2
48828,-0.2173448,250,25,259,2
48828,-1.577011,250,25,260,2
48828,-0.290035,250,25,261,2
48828,-0.5586827,250,25,262,2
48828,-1.097504,250,25,263,2
48828,-1.025847,250,25,264,2
48828,-0.2193383,250,25,265,2
48828,-0.3335852,250,25,266,2
48828,-0.3708841,250,25,267,2
48828,-0.1080079,250,25,268,2
48828,-0.413819,250,25,269,2
48828,0.1365819,250,25,270,2
48828,-0.7266443,250,25,271,2
48828,-0.3145605,250,25,272,2
48828,0.07737878,250,25,273,2
48828,-1.063946,250,25,274,2
48828,0.4558432,250,25,275,2
48828,-0.679464,250,25,276,2
48828,-0.4282782,250,25,277,2
48828,-0.02633438,250,25,278,2
48828,-0.230955,250,25,279,2
48828,-0.04929698,250,25,280,2
48828,-0.4193443,250,25,281,2
48828,0.02698659,250,25,282,2
48828,-0.6593809,250,25,283,2
48828,-0.2231777,250,25,284,2
48828,0.9779038,250,25,285,2
48828,0.5019899,250,25,286,2
48828,0.3383353,250,25,287,2
48828,-0.1490723,250,25,288,2
48828,0.2573632,250,25,289,2
48828,-0.4989135,250,25,290,2
48828,-0.5189596,250,25,291,2
48828,0.09469302,250,25,292,2
48828,-1.220143,250,25,293,2
48828,-0.1508689,250,25,294,2
48828,-0.5089181,250,25,295,2
48828,-0.7686194,250,25,296,2
48828,0.1877124,250,25,297,2
48828,-0.4789535,250,25,298,2
48828,-1.11419,250,25,299,2
48828,-0.5538834,250,25,300,2
48828,-0.373136,250,25,301,2
48828,-0.4804671,250,25,302,2
48828,-0.4686905,250,25,303,2
48828,-1.456008,250,25,304,2
48828,0.1563081,250,25,305,2
48828,-1.93351,250,25,306,2
48828,-0.8325971,250,25,307,2
48828,0.3344836,250,25,308,2
48828,-0.3710441,250,25,309,2
48828,-0.5334312,250,25,310,2
48828,0.5729573,250,25,311,2
48828,-0.763894,250,25,312,2
48828,-0.22319,250,25,313,2
48828,-0.07216113,250,25,314,2
48828,-0.06645124,250,25,315,2
48828,1.06941,250,25,316,2
48828,-0.7170827,250,25,317,2
48828,-0.5988857,250,25,318,2
48828,-0.2534007,250,25,319,2
48828,0.4736251,250,25,320,2
48828,-0.188217,250,25,321,2
48828,-0.4733667,250,25,322,2
48828,-0.3876446,250,25,323,2
48828,0.2870325,250,25,324,2
48828,-0.1685523,250,25,325,2
48828,0.7693085,250,25,326,2
48828,0.3912378,250,25,327,2
48828,-0.8681855,250,25,328,2
48828,-0.4639896,250,25,329,2
48828,-0.5114777,250,25,330,2
48828,-0.6467552,250,25,331,2
48828,-0.1192923,250,25,332,2
48828,-0.5025437,250,25,333,2
48828,0.2529208,250,25,334,2
48828,-0.1473987,250,25,335,2
48828,-0.624494,250,25,336,2
48828,0.226168,250,25,337,2
48828,-0.7930217,250,25,338,2
48828,-0.06162738,250,25,339,2
48828,0.1455528,250,25,340,2
48828,0.4541081,250,25,341,2
48828,0.09234262,250,25,342,2
48828,-0.3729145,250,25,343,2
48828,-0.3428269,250,25,344,2
48828,-0.1581663,250,25,345,2
48828,-0.1863834,250,25,346,2
48828,-0.941651,250,25,347,2
48828,-0.5577105,250,25,348,2
48828,-0.2842883,250,25,349,2
48828,-0.2531054,250,25,350,2
48828,0.07673888,250,25,351,2
48828,-0.3972185,250,25,352,2
48828,-0.2121641,250,25,353,2
48828,-0.7630817,250,25,354,2
48828,0.2855804,250,25,355,2
48828,-0.7047154,250,25,356,2
48828,-0.3196428,250,25,357,2
48828,-0.02165818,250,25,358,2
48828,0.2018149,250,25,359,2
48828,-0.4562247,250,25,360,2
48828,0.3019963,250,25,361,2
48828,-0.08670656,250,25,362,2
48828,0.009918463,250,25,363,2
48828,-0.2784061,250,25,364,2
48828,0.1583016,250,25,365,2
48828,-0.3979445,250,25,366,2
48828,-0.1097184,250,25,367,2
48828,-0.4120839,250,25,368,2
48828,-0.4372738,250,25,369,2
48828,-0.2129393,250,25,370,2
48828,0.740513,250,25,371,2
48828,0.5542648,250,25,372,2
48828,-0.1922287,250,25,373,2
48828,-0.8595222,250,25,374,2
48828,-0.3179938,250,25,375,2
48828,-0.6585687,250,25,376,2
48828,-0.2567233,250,25,377,2
48828,-0.1598768,250,25,378,2
48828,-0.09241645,250,25,379,2
48828,0.1746683,250,25,380,2
48828,-0.5637895,250,25,381,2
48828,-0.6841648,250,25,382,2
48828,-0.6461891,250,25,383,2
48828,-0.7456198,250,25,384,2
48828,-0.1978893,250,25,385,2
48828,-0.5895087,250,25,386,2
48828,-0.15856,250,25,387,2
48828,-0.2182431,250,25,388,2
48828,-1.170539,250,25,389,2
48828,0.3232607,250,25,390,2
48828,0.3229777,250,25,391,2
48828,-0.2409719,250,25,392,2
48828,0.168417,250,25,393,2
48828,-0.4129822,250,25,394,2
48828,0.1993537,250,25,395,2
48828,-0.7123204,250,25,396,2
48828,0.8073088,250,25,397,2
48828,-0.4040605,250,25,398,2
48828,-1.131234,250,25,399,2
48828,-0.8648998,250,25,400,2
48828,0.5898655,250,25,401,2
48828,-0.268746,250,25,402,2
48828,-0.8321049,250,25,403,2
48828,0.4815623,250,25,404,2
48828,0.6433957,250,25,405,2
48828,-0.0442393,250,25,406,2
48828,-0.1837992,250,25,407,2
48828,-0.7922096,250,25,408,2
48828,-0.4881951,250,25,409,2
48828,-0.145319,250,25,410,2
48828,0.05531451,250,25,411,2
48828,-0.207131,250,25,412,2
48828,-0.5095088,250,25,413,2
48828,0.4647157,250,25,414,2
48828,0.3749819,250,25,415,2
48828,0.4676937,250,25,416,2
48828,-0.07672657,250,25,417,2
48828,0.5027775,250,25,418,2
48828,-0.5349694,250,25,419,2
48828,-0.311201,250,25,420,2
48828,0.1915519,250,25,421,2
48828,-0.4427007,250,25,422,2
48828,-1.722207,250,25,423,2
48828,0.1115519,250,25,424,2
48828,-0.2201013,250,25,425,2
48828,-0.4334344,250,25,426,2
48828,0.09324093,250,25,427,2
48828,-0.9996974,250,25,428,2
48828,-0.6725234,250,25,429,2
48828,-0.04683582,250,25,430,2
48828,-0.131475,250,25,431,2
48828,0.1878847,250,25,432,2
48828,0.1220119,250,25,433,2
48828,0.1490477,250,25,434,2
48828,0.004208579,250,25,435,2
48828,-0.1985908,250,25,436,2
48828,-0.4073092,250,25,437,2
48828,-0.01330255,250,25,438,2
48828,-0.8320803,250,25,439,2
48828,0.1013504,250,25,440,2
48828,1.100396,250,25,441,2
48828,-0.32283,250,25,442,2
48828,-0.5075767,250,25,443,2
48828,-0.9481977,250,25,444,2
48828,0.379412,250,25,445,2
48828,0.4166739,250,25,446,2
48828,-0.04578983,250,25,447,2
48828,-0.3896258,250,25,448,2
48828,-1.0304,250,25,449,2
48828,-0.2304874,250,25,450,2
48828,0.009143199,250,25,451,2
48828,-0.6914005,250,25,452,2
48828,-0.3488198,250,25,453,2
48828,-0.256108,250,25,454,2
48828,0.5322375,250,25,455,2
48828,-0.9254689,250,25,456,2
48828,-0.2670232,250,25,457,2
48828,0.08113205,250,25,458,2
48828,-0.5032328,250,25,459,2
48828,-1.639869,250,25,460,2
48828,-0.8133017,250,25,461,2
48828,-0.4781659,250,25,462,2
48828,-0.07032757,250,25,463,2
48828,0.1199445,250,25,464,2
48828,0.09603435,250,25,465,2
48828,0.6620513,250,25,466,2
48828,0.2101459,250,25,467,2
48828,-0.5350433,250,25,468,2
48828,0.3457926,250,25,469,2
48828,-0.2748866,250,25,470,2
48828,-0.009783099,250,25,471,2
48828,0.239003,250,25,472,2
48828,-0.1404705,250,25,473,2
48828,0.3178461,250,25,474,2
48828,0.09460688,250,25,475,2
48828,-0.07270259,250,25,476,2
48828,-0.2041161,250,25,477,2
48828,-0.03370555,250,25,478,2
48828,-0.284719,250,25,479,2
48828,0.5024698,250,25,480,2
48828,0.08427002,250,25,481,2
48828,1.015929,250,25,482,2
48828,-0.4909886,250,25,483,2
48828,-0.4811808,250,25,484,2
48828,0.2506196,250,25,485,2
48828,-0.67037,250,25,486,2
48828,-0.3723608,250,25,487,2
48828,-0.257757,250,25,488,2
48828,0.6696808,250,25,489,2
48828,-0.9629647,250,25,490,2
48828,-0.3973169,250,25,491,2
48828,-0.433016,250,25,492,2
48828,-0.09080439,250,25,493,2
48828,-1.072585,250,25,494,2
48828,-0.8483486,250,25,495,2
48828,-0.9747166,250,25,496,2
48828,0.2104781,250,25,497,2
48828,-0.7705144,250,25,498,2
48828,0.1048945,250,25,499,2
48828,-0.3501857,250,25,500,2
48828,-0.6070444,250,25,501,2
48828,-0.4527052,250,25,502,2
48828,-0.2416487,250,25,503,2
48828,-0.0476357,250,25,504,2
48828,-1.599777,250,25,505,2
48828,-0.5108993,250,25,506,2
48828,0.439981,250,25,507,2
48828,-0.473945,250,25,508,2
48828,-0.3479215,250,25,509,2
48828,0.2458204,250,25,510,2
48828,-0.3833006,250,25,511,2
48828,0.09708034,250,25,512,2
48828,-0.6570305,250,25,513,2
48828,-0.05568368,250,25,514,2
48828,-0.6487857,250,25,515,2
48828,0.2335761,250,25,516,2
48828,0.1305275,250,25,517,2
48828,0.4897456,250,25,518,2
48828,-0.5834296,250,25,519,2
48828,-0.5834788,250,25,520,2
48828,0.08713727,250,25,521,2
48828,-0.7747477,250,25,522,2
48828,-0.4340004,250,25,523,2
48828,-1.025133,250,25,524,2
48828,-1.167167,250,25,525,2
48828,-0.4059925,250,25,526,2
48828,-0.3424208,250,25,527,2
48828,-0.07326865,250,25,528,2
48828,-0.5827897,250,25,529,2
48828,-0.2396798,250,25,530,2
48828,-0.189866,250,25,531,2
48828,0.415148,250,25,532,2
48828,0.09178886,250,25,533,2
48828,0.3974153,250,25,534,2
48828,-0.8030387,250,25,535,2
48828,-1.185909,250,25,536,2
48828,0.5792949,250,25,537,2
48828,-0.6307577,250,25,538,2
48828,-0.2585692,250,25,539,2
48828,-0.4682105,250,25,540,2
48828,-0.07171812,250,25,541,2
48828,0.3253157,250,25,542,2
48828,-0.6280258,250,25,543,2
48828,0.1274264,250,25,544,2
48828,-0.1324226,250,25,545,2
48828,-1.338611,250,25,546,2
48828,0.494065,250,25,547,2
48828,1.345244,250,25,548,2
48828,0.2812118,250,25,549,2
48828,-0.02091984,250,25,550,2
48828,0.5477059,250,25,551,2
48828,0.3072262,250,25,552,2
48828,0.3947327,250,25,553,2
48828,-0.9187745,250,25,554,2
48828,-1.753698,250,25,555,2
48828,1.537054,250,25,556,2
48828,0.8293976,250,25,557,2
48828,-2.272522,250,25,558,2
48828,-1.571498,250,25,559,2
48828,-0.615117,250,25,560,2
48828,-0.05567137,250,25,561,2
48828,-0.6882011,250,25,562,2
48828,-0.8635708,250,25,563,2
48828,0.2612395,250,25,564,2
48828,-1.491313,250,25,565,2
48828,-1.015572,250,25,566,2
48828,1.231415,250,25,567,2
48828,1.58517,250,25,568,2
48828,0.4788427,250,25,569,2
48828,0.4786212,250,25,570,2
48828,1.127259,250,25,571,2
48828,2.293552,250,25,572,2
48828,1.532415,250,25,573,2
48828,0.8030018,250,25,574,2
48828,-0.8835923,250,25,575,2
48828,-0.4788919,250,25,576,2
48828,0.7003592,250,25,577,2
48828,0.1334808,250,25,578,2
48828,-0.9604543,250,25,579,2
48828,-1.407462,250,25,580,2
48828,-0.9081055,250,25,581,2
48828,-0.9694744,250,25,582,2
48828,-1.148191,250,25,583,2
48828,-1.637125,250,25,584,2
48828,-1.487794,250,25,585,2
48828,-0.67037,250,25,586,2
48828,0.6563414,250,25,587,2
48828,0.6284442,250,25,588,2
48828,0.5498963,250,25,589,2
48828,0.2112657,250,25,590,2
48828,0.2708257,250,25,591,2
48828,0.3073739,250,25,592,2
48828,0.05947386,250,25,593,2
48828,-0.3620116,250,25,594,2
48828,-0.8915911,250,25,595,2
48828,-1.382936,250,25,596,2
48828,-0.1522226,250,25,597,2
48828,-1.237925,250,25,598,2
48828,-0.8319327,250,25,599,2
48828,-1.104924,250,25,600,2
48828,-0.8103729,250,25,601,2
48828,-0.05520375,250,25,602,2
48828,-0.9261826,250,25,603,2
48828,-0.7440447,250,25,604,2
48828,-1.507939,250,25,605,2
48828,-0.596646,250,25,606,2
48828,1.118904,250,25,607,2
48828,0.5963629,250,25,608,2
48828,-0.0006399009,250,25,609,2
48828,-0.6657922,250,25,610,2
48828,-0.4318223,250,25,611,2
48828,-0.425411,250,25,612,2
48828,0.5701271,250,25,613,2
48828,0.02548528,250,25,614,2
48828,-1.076006,250,25,615,2
48828,0.1655005,250,25,616,2
48828,0.227091,250,25,617,2
48828,0.9237953,250,25,618,2
48828,-0.1188247,250,25,619,2
48828,-1.11499,250,25,620,2
48828,0.4293735,250,25,621,2
48828,0.3750065,250,25,622,2
48828,-0.4098073,250,25,623,2
48828,-0.04865708,250,25,624,2
48828,-1.358903,250,25,625,2
48828,-0.7664413,250,25,626,2
48828,-0.4497642,250,25,627,2
48828,-0.7103269,250,25,628,2
48828,-1.348111,250,25,629,2
48828,-0.6621251,250,25,630,2
48828,0.7146831,250,25,631,2
48828,-0.2078693,250,25,632,2
48828,-1.025097,250,25,633,2
48828,-0.9742122,250,25,634,2
48828,-0.6008177,250,25,635,2
48828,-0.6316191,250,25,636,2
48828,0.035736,250,25,637,2
48828,-0.3632791,250,25,638,2
48828,-0.5603563,250,25,639,2
48828,-0.5030851,250,25,640,2
48828,0.3617163,250,25,641,2
48828,1.046595,250,25,642,2
48828,0.06968766,250,25,643,2
48828,-0.6058261,250,25,644,2
48828,-0.1632362,250,25,645,2
48828,-0.2559111,250,25,646,2
48828,-0.4681244,250,25,647,2
48828,0.6423251,250,25,648,2
48828,-0.05952309,250,25,649,2
48828,0.2225255,250,25,650,2
48828,-0.7690747,250,25,651,2
48828,0.5382797,250,25,652,2
48828,0.2087307,250,25,653,2
48828,-0.2379816,250,25,654,2
48828,-1.192098,250,25,655,2
48828,-0.3840636,250,25,656,2
48828,0.08862627,250,25,657,2
48828,-0.2852727,250,25,658,2
48828,-0.06448232,250,25,659,2
48828,-0.03819716,250,25,660,2
48828,-0.1427348,250,25,661,2
48828,0.09612049,250,25,662,2
48828,-0.7036694,250,25,663,2
48828,-1.565677,250,25,664,2
48828,-0.8123541,250,25,665,2
48828,-0.01628055,250,25,666,2
48828,-0.360055,250,25,667,2
48828,-0.2986614,250,25,668,2
48828,-0.01603444,250,25,669,2
48828,0.2204581,250,25,670,2
48828,0.1343669,250,25,671,2
48828,0.115096,250,25,672,2
48828,-0.28798,250,25,673,2
48828,-0.2162373,250,25,674,2
48828,-0.1332347,250,25,675,2
48828,0.4738712,250,25,676,2
48828,-0.5065308,250,25,677,2
48828,-0.6081765,250,25,678,2
48828,-0.9455889,250,25,679,2
48828,-0.7619004,250,25,680,2
48828,0.682885,250,25,681,2
48828,0.146685,250,25,682,2
48828,-0.6706653,250,25,683,2
48828,0.03688044,250,25,684,2
48828,0.2366895,250,25,685,2
48828,0.2841406,250,25,686,2
48828,1.049142,250,25,687,2
48828,0.2484169,250,25,688,2
48828,0.1116012,250,25,689,2
48828,-0.04991227,250,25,690,2
48828,0.6805838,250,25,691,2
48828,0.1613165,250,25,692,2
48828,-0.1065927,250,25,693,2
48828,-0.4497518,250,25,694,2
48828,-0.005033066,250,25,695,2
48828,-0.1022857,250,25,696,2
48828,-0.1895214,250,25,697,2
48828,-0.6148709,250,25,698,2
48828,-0.6523051,250,25,699,2
48828,-0.8693914,250,25,700,2
48828,-1.128244,250,25,701,2
48828,-0.8573318,250,25,702,2
48828,-1.18709,250,25,703,2
48828,-1.491117,250,25,704,2
48828,0.3163079,250,25,705,2
48828,-0.2938375,250,25,706,2
48828,0.3415471,250,25,707,2
48828,-0.9651427,250,25,708,2
48828,-0.7520066,250,25,709,2
48828,-0.1501552,250,25,710,2
48828,-1.214003,250,25,711,2
48828,-0.6482811,250,25,712,2
48828,-0.7497423,250,25,713,2
48828,0.09864318,250,25,714,2
48828,0.8644691,250,25,715,2
48828,0.007026604,250,25,716,2
48828,0.9315849,250,25,717,2
48828,0.3018609,250,25,718,2
48828,0.4583167,250,25,719,2
48828,0.6292686,250,25,720,2
48828,0.4820669,250,25,721,2
48828,0.2340437,250,25,722,2
48828,-0.02004612,250,25,723,2
48828,0.483322,250,25,724,2
48828,-0.07950768,250,25,725,2
48828,-0.2631838,250,25,726,2
48828,0.1436947,250,25,727,2
48828,0.2628762,250,25,728,2
48828,-0.2955849,250,25,729,2
48828,0.6362706,250,25,730,2
48828,-1.376291,250,25,731,2
48828,-0.4971045,250,25,732,2
48828,-0.4495181,250,25,733,2
48828,0.2057897,250,25,734,2
48828,-0.4486443,250,25,735,2
48828,0.1564804,250,25,736,2
48828,0.5605285,250,25,737,2
48828,-1.174587,250,25,738,2
48828,-0.5266015,250,25,739,2
48828,0.3695674,250,25,740,2
48828,-0.3633283,250,25,741,2
48828,-0.6854199,250,25,742,2
48828,-0.7741816,250,25,743,2
48828,-0.5667306,250,25,744,2
48828,-0.5098287,250,25,745,2
48828,-0.4792611,250,25,746,2
48828,-0.1665096,250,25,747,2
48828,-0.6120652,250,25,748,2
48828,-0.2755388,250,25,749,2
48828,-1.40868,250,25,750,2
48828,-0.09397928,250,25,751,2
48828,-0.05900624,250,25,752,2
48828,-0.3290444,250,25,753,2
48828,0.03729884,250,25,754,2
48828,-0.3030792,250,25,755,2
48828,-0.3501242,250,25,756,2
48828,0.3015779,250,25,757,2
48828,-0.7041494,250,25,758,2
48828,0.7671058,250,25,759,2
48828,-0.1677402,250,25,760,2
48828,0.1798983,250,25,761,2
48828,-0.2268941,250,25,762,2
48828,-1.029047,250,25,763,2
48828,-1.042805,250,25,764,2
48828,-0.04682351,250,25,765,2
48828,-0.7695669,250,25,766,2
48828,-0.6533757,250,25,767,2
48828,-0.454305,250,25,768,2
48828,-0.8411989,250,25,769,2
48828,-0.811825,250,25,770,2
48828,-0.4045281,250,25,771,2
48828,-0.1050176,250,25,772,2
48828,-0.1483708,250,25,773,2
48828,-0.05293949,250,25,774,2
48828,-0.6819989,250,25,775,2
48828,-0.1773018,250,25,776,2
48828,-0.626906,250,25,777,2
48828,-0.07305945,250,25,778,2
48828,-0.5285212,250,25,779,2
48828,-0.8771564,250,25,780,2
48828,-0.1276233,250,25,781,2
48828,-0.2241499,250,25,782,2
48828,0.2786276,250,25,783,2
48828,-0.835206,250,25,784,2
48828,-0.02978,250,25,785,2
48828,0.2471863,250,25,786,2
48828,0.002608827,250,25,787,2
48828,-0.04310717,250,25,788,2
48828,0.7054661,250,25,789,2
48828,0.2507304,250,25,790,2
48828,-0.4096473,250,25,791,2
48828,0.163347,250,25,792,2
48828,0.3981537,250,25,793,2
48828,-0.3442667,250,25,794,2
48828,0.1754313,250,25,795,2
48828,-0.301504,250,25,796,2
48828,0.2035869,250,25,797,2
48828,-0.8631893,250,25,798,2
48828,-0.1924871,250,25,799,2
48828,-0.111675,250,25,800,2
48828,-0.4855617,250,25,801,2
